n_objects,method,ms_per_frame,power_mean_mw,power_median_mw,power_p5_mw,power_p95_mw,power_std_mw,energy_per_frame_mj,energy_total_mj,power_delta_idle_mw,idle_power_mw,iterations,samples
50,octopus_kernel,11.812,4925.4,4920.0,4912.0,4976.0,19.1,58.1560,17446.8,-68.5,4993.8,300,478
50,octopus_e2e,12.933,4920.9,4920.0,4912.0,4952.0,12.8,63.6115,19083.4,-72.9,4993.8,300,499
50,individual_cuda,12.630,4925.5,4920.0,4920.0,4958.4,11.8,62.1756,18652.7,-68.3,4993.8,300,385
100,octopus_kernel,21.153,4916.7,4912.0,4912.0,4944.0,11.0,104.0048,31201.4,-77.2,4993.8,300,872
100,octopus_e2e,22.228,4916.3,4912.0,4912.0,4944.0,10.7,109.1865,32755.9,-77.5,4993.8,300,902
100,individual_cuda,24.742,4922.5,4920.0,4920.0,4942.8,8.2,121.7939,36538.2,-71.3,4993.8,300,884
200,octopus_kernel,40.179,4915.0,4912.0,4912.0,4928.0,6.8,197.3329,29599.9,-78.8,4993.8,150,830
200,octopus_e2e,41.389,4916.6,4912.0,4912.0,4944.0,11.0,203.3164,30497.5,-77.2,4993.8,150,841
200,individual_cuda,49.270,4922.5,4920.0,4920.0,4936.8,8.0,242.5258,36378.9,-71.4,4993.8,150,859
500,octopus_kernel,100.460,4913.8,4912.0,4912.0,4920.0,7.3,493.5920,74038.8,-80.0,4993.8,150,2081
500,octopus_e2e,102.825,4913.7,4912.0,4912.0,4920.0,7.1,505.0518,75757.8,-80.1,4993.8,150,2097
500,individual_cuda,122.511,4920.9,4920.0,4920.0,4920.0,4.9,602.8279,90424.2,-73.0,4993.8,150,1874
1000,octopus_kernel,198.488,4913.5,4912.0,4912.0,4920.0,6.4,975.2484,97524.8,-80.4,4993.8,100,2693
1000,octopus_e2e,201.866,4913.4,4912.0,4912.0,4920.0,6.4,991.6834,99168.3,-80.5,4993.8,100,2754
1000,individual_cuda,244.819,4920.6,4920.0,4920.0,4920.0,4.1,1204.6548,120465.5,-73.2,4993.8,100,2573
2000,octopus_kernel,396.416,4913.3,4912.0,4912.0,4920.0,6.2,1947.1000,97355.0,-80.5,4993.8,50,2709
2000,octopus_e2e,401.463,4913.3,4912.0,4912.0,4920.0,6.2,1971.8130,98590.6,-80.6,4993.8,50,2723
2000,individual_cuda,489.306,4916.5,4912.0,4912.0,4920.0,6.2,2405.6379,120281.9,-77.4,4993.8,50,2712
3000,octopus_kernel,594.336,4912.9,4912.0,4912.0,4912.0,5.2,2919.5640,145978.2,-81.0,4993.8,50,3996
3000,octopus_e2e,604.128,4912.8,4912.0,4912.0,4912.0,5.1,2967.6931,148384.7,-81.0,4993.8,50,4078
3000,individual_cuda,733.944,4913.2,4912.0,4912.0,4920.0,4.5,3605.3560,180267.8,-80.7,4993.8,50,4270
5000,octopus_kernel,993.026,4911.8,4912.0,4904.0,4912.0,4.3,4877.2956,146318.9,-82.0,4993.8,30,4090
5000,octopus_e2e,1003.271,4912.2,4912.0,4904.0,4912.0,5.4,4927.2591,147817.8,-81.6,4993.8,30,4016
5000,individual_cuda,1221.925,4912.8,4912.0,4912.0,4912.0,4.3,6002.7664,180083.0,-81.1,4993.8,30,4420
